,SPY,SPY,SPY,SPY,SPY,AGG,AGG,AGG,AGG,AGG
,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,
2017-01-03,225.04,225.83,223.88,225.24,91366522,107.73,108.22,107.73,108.17,5079339
2017-01-04,225.62,226.75,225.61,226.58,78744433,108.16,108.21,108.03,108.2,3297075
2017-01-05,226.27,226.58,225.48,226.4,78379012,108.37,108.68,108.22,108.65,5165933
2017-01-06,226.53,227.75,225.9,227.21,71559922,108.43,108.5,108.26,108.29,2910119
2017-01-09,226.91,227.07,226.42,226.46,46939676,108.54,108.54,108.43,108.47,3030497
2017-01-10,226.48,227.45,226.01,226.46,63771939,108.45,108.55,108.42,108.44,2396346
2017-01-11,226.36,227.1,225.59,227.1,74650016,108.53,108.93,108.42,108.57,4465599
2017-01-12,226.5,226.75,224.96,226.53,72113181,108.78,108.9,108.61,108.61,3036555
2017-01-13,226.73,227.4,226.69,227.05,62717865,108.5,108.55,108.26,108.42,3293580
2017-01-17,226.31,226.78,225.8,226.25,61240814,108.81,108.87,108.65,108.79,3685709
2017-01-18,226.54,226.8,225.9,226.75,54793302,108.6,108.67,108.24,108.32,3115614
2017-01-19,226.84,227.0,225.41,225.91,66608787,108.06,108.16,107.93,108.04,2387984
2017-01-20,226.7,227.31,225.97,226.74,129168623,107.94,108.12,107.83,108.08,3524950
2017-01-23,226.35,226.81,225.27,226.15,75061645,108.22,108.57,108.1,108.38,3063351
2017-01-24,226.4,228.08,226.27,227.6,95555295,108.33,108.4,108.1,108.21,2049504
2017-01-25,228.7,229.57,228.51,229.57,84437712,107.98,108.04,107.83,107.92,2912944
2017-01-26,229.4,229.71,229.01,229.33,59970719,107.86,108.03,107.71,107.99,2046256
2017-01-27,229.42,229.59,228.76,228.97,59711118,108.03,108.16,108.02,108.08,3096808
2017-01-30,228.17,228.2,226.41,227.55,79737252,108.16,108.21,108.03,108.03,2946223
2017-01-31,226.98,227.6,226.32,227.53,75880805,108.08,108.37,108.08,108.29,7552672
2017-02-01,228.26,228.59,226.94,227.62,79117651,107.77,108.01,107.69,107.92,2994645
2017-02-02,227.2,228.1,226.82,227.77,69657560,108.06,108.18,107.95,107.98,3490763
2017-02-03,228.82,229.55,228.46,229.34,80563168,108.12,108.28,107.86,108.01,2728430
2017-02-06,228.87,229.33,228.54,228.93,57790108,108.22,108.38,108.1,108.32,1827186
2017-02-07,229.38,229.66,228.72,228.94,57931151,108.3,108.58,108.25,108.43,2659217
2017-02-08,228.61,229.39,228.31,229.24,51566218,108.61,108.83,108.61,108.74,3873152
2017-02-09,229.56,230.95,229.52,230.6,65955245,108.61,108.67,108.43,108.48,2736100
2017-02-10,231.0,231.77,230.62,231.51,66015892,108.26,108.47,108.26,108.46,2365339
2017-02-13,232.08,233.07,232.05,232.77,55182050,108.34,108.35,108.23,108.3,2189830
2017-02-14,232.56,233.71,232.16,233.7,71108983,108.3,108.3,107.91,108.06,2809525
2017-02-15,233.45,235.14,233.39,234.92,86785826,107.92,108.0,107.86,107.89,2138914
2017-02-16,234.96,235.16,233.85,234.72,84722437,108.01,108.28,108.01,108.12,5257568
2017-02-17,233.95,235.09,233.93,235.09,77204104,108.37,108.45,108.32,108.36,2228261
2017-02-21,235.52,236.69,235.51,236.49,88946051,108.24,108.45,108.22,108.35,1980343
2017-02-22,236.02,236.54,235.83,236.28,62115185,108.54,108.55,108.2,108.42,2655460
2017-02-23,236.88,236.9,235.56,236.44,74615902,108.56,108.65,108.53,108.6,2168995
2017-02-24,235.46,236.79,235.41,236.74,82381612,108.88,109.06,108.82,109.0,2670884
2017-02-27,236.64,237.31,236.35,237.11,56515440,108.95,108.98,108.77,108.8,1998161
2017-02-28,236.67,236.95,236.02,236.47,96961938,108.8,108.94,108.75,108.77,3840064
2017-03-01,238.39,240.32,238.37,239.78,149158170,108.12,108.14,107.98,108.04,3280167
2017-03-02,239.56,239.57,238.21,238.27,70245978,107.93,107.99,107.75,107.84,2299703
2017-03-03,238.17,238.61,237.73,238.42,81974300,107.92,107.97,107.74,107.92,4293867
2017-03-06,237.5,238.12,237.01,237.71,55391533,107.94,107.99,107.82,107.87,3678302
2017-03-07,237.36,237.77,236.76,237.0,65103737,107.8,107.84,107.69,107.73,2237937
2017-03-08,237.34,237.64,236.4,236.56,78168795,107.39,107.5,107.34,107.47,2834748
2017-03-09,236.7,237.24,235.74,236.86,90683918,107.32,107.34,107.12,107.14,3527292
2017-03-10,237.97,238.02,236.59,237.69,81991652,107.23,107.32,107.16,107.3,1905999
2017-03-13,237.62,237.86,237.24,237.81,57256824,107.21,107.28,107.1,107.12,1658472
2017-03-14,237.18,237.24,236.19,236.9,59880778,107.08,107.24,107.08,107.16,2639200
2017-03-15,237.56,239.44,237.29,238.95,96081750,107.25,107.79,107.2,107.78,2163046
2017-03-16,239.11,239.2,238.1,238.48,78343951,107.68,107.75,107.62,107.66,2369707
2017-03-17,237.75,237.97,237.03,237.03,89002111,107.72,107.91,107.69,107.89,2368799
2017-03-20,237.03,237.36,236.32,236.77,52536979,107.86,108.05,107.84,108.05,1635249
2017-03-21,237.47,237.61,233.58,233.73,131809275,107.93,108.27,107.93,108.27,2049680
2017-03-22,233.77,234.61,233.05,234.28,97569204,108.44,108.54,108.36,108.42,2643641
2017-03-23,234.0,235.34,233.6,234.03,100410277,108.44,108.51,108.26,108.45,2071485
2017-03-24,234.38,235.04,232.96,233.86,112504853,108.35,108.51,108.31,108.36,3374666
2017-03-27,231.93,233.92,231.61,233.62,87454452,108.65,108.71,108.53,108.62,1977292
2017-03-28,233.27,235.81,233.14,235.32,93483915,108.63,108.68,108.35,108.37,2016097
2017-03-29,234.99,235.81,234.73,235.54,61950354,108.48,108.62,108.46,108.61,1965626
2017-03-30,235.47,236.52,235.27,236.29,56737890,108.52,108.58,108.38,108.41,1733874
2017-03-31,235.9,236.51,235.68,235.74,73733094,108.44,108.53,108.42,108.49,3717721
2017-04-03,235.8,236.03,233.91,235.33,85546486,108.31,108.68,108.3,108.67,5198006
2017-04-04,235.0,235.58,234.56,235.48,56466195,108.61,108.65,108.52,108.57,1627492
2017-04-05,236.26,237.39,234.54,234.78,108800604,108.48,108.74,108.45,108.69,2304074
2017-04-06,234.94,236.04,234.43,235.44,69135757,108.64,108.71,108.48,108.68,1725301
2017-04-07,235.15,236.0,234.64,235.2,74412311,108.8,108.89,108.42,108.44,1783599
2017-04-10,235.36,236.26,234.73,235.34,67615302,108.53,108.65,108.49,108.58,1903716
2017-04-11,234.9,235.18,233.34,235.06,88045276,108.76,108.98,108.75,108.89,2200830
2017-04-12,234.74,234.96,233.77,234.03,81864436,108.93,109.2,108.89,109.13,2432965
2017-04-13,233.64,234.49,232.51,232.51,92880394,109.25,109.39,109.13,109.27,2339939
2017-04-17,233.11,234.57,232.88,234.57,68405367,109.3,109.4,109.18,109.21,1646056
2017-04-18,233.72,234.49,233.08,233.87,83225821,109.41,109.7,109.39,109.65,2369862
2017-04-19,234.52,234.95,233.18,233.44,68699868,109.47,109.56,109.39,109.48,2148531
2017-04-20,234.15,235.85,233.78,235.34,92572186,109.31,109.4,109.2,109.31,1867805
2017-04-21,235.25,235.31,234.13,234.59,110389847,109.4,109.49,109.3,109.34,1539265
2017-04-24,237.18,237.41,234.56,237.17,119209877,109.05,109.22,109.0,109.18,2745689
2017-04-25,237.91,238.95,237.81,238.55,76698265,108.99,109.05,108.77,108.82,1888469
2017-04-26,238.51,239.53,238.35,238.4,84702455,108.85,108.97,108.77,108.96,2893801
2017-04-27,238.77,238.95,237.98,238.6,57410326,108.94,109.1,108.91,109.06,1660940
2017-04-28,238.9,238.93,237.93,238.08,63532845,108.98,109.25,108.91,109.25,5774846
2017-05-01,238.68,239.17,238.2,238.68,66882521,108.86,108.96,108.62,108.73,2510027
2017-05-02,238.84,238.98,238.3,238.77,57375732,108.68,108.94,108.68,108.88,2841518
2017-05-03,238.29,238.88,237.7,238.48,73137731,108.97,108.99,108.77,108.77,1923403
2017-05-04,238.83,238.92,237.78,238.76,61462732,108.55,108.7,108.55,108.68,1897912
2017-05-05,239.19,239.72,238.68,239.7,62001269,108.72,108.74,108.57,108.7,1421843
2017-05-08,239.75,239.92,239.17,239.66,48385730,108.63,108.67,108.49,108.49,3568402
2017-05-09,239.96,240.19,239.04,239.44,51363200,108.43,108.51,108.4,108.5,3084948
2017-05-10,239.39,239.87,239.15,239.87,54293799,108.6,108.66,108.44,108.53,1653429
2017-05-11,239.35,239.57,238.13,239.38,62358346,108.35,108.54,108.34,108.52,2331142
2017-05-12,239.09,239.43,238.67,238.98,53912730,108.81,108.94,108.78,108.92,1329696
2017-05-15,239.47,240.44,239.45,240.3,61918937,108.85,108.94,108.82,108.88,1770999
2017-05-16,240.64,240.67,239.63,240.08,51241791,108.88,109.1,108.88,109.02,2051881
2017-05-17,238.1,238.64,235.75,235.82,172174107,109.35,109.6,109.28,109.58,2464752
2017-05-18,235.73,237.75,235.43,236.77,107047656,109.54,109.63,109.44,109.52,2106710
2017-05-19,237.33,239.08,237.27,238.31,115011373,109.51,109.54,109.35,109.52,1503878
2017-05-22,238.9,239.71,238.82,239.52,61010602,109.43,109.48,109.4,109.45,1642809
2017-05-23,239.95,240.24,239.51,240.05,48341683,109.5,109.53,109.21,109.24,1334724
2017-05-24,240.32,240.73,239.93,240.61,49181099,109.25,109.5,109.21,109.43,2719267
2017-05-25,241.2,242.08,240.96,241.76,64071661,109.45,109.49,109.37,109.48,1558065
2017-05-26,241.54,241.9,241.45,241.71,46629905,109.46,109.54,109.44,109.44,955022
2017-05-30,241.34,241.79,241.16,241.5,35201897,109.58,109.66,109.54,109.65,2093241
2017-05-31,241.84,241.88,240.64,241.44,91796016,109.64,109.81,109.64,109.76,2416515
2017-06-01,241.97,243.38,241.64,243.36,68962024,109.36,109.5,109.34,109.48,2454539
2017-06-02,243.42,244.35,243.08,244.17,88666128,109.74,109.89,109.69,109.84,1507368
2017-06-05,243.97,244.3,243.76,243.99,44698825,109.66,109.74,109.6,109.67,2450624
2017-06-06,243.34,243.98,243.12,243.21,50375430,109.87,109.95,109.81,109.89,1607846
2017-06-07,243.6,243.92,242.83,243.66,54144311,109.81,109.87,109.7,109.76,1903624
2017-06-08,243.77,244.33,243.17,243.78,65950691,109.7,109.7,109.51,109.65,1532737
2017-06-09,244.09,245.01,241.95,243.41,132256362,109.51,109.63,109.46,109.56,1616833
2017-06-12,243.13,243.42,242.38,243.36,86108102,109.51,109.7,109.47,109.56,1394766
2017-06-13,243.98,244.61,243.58,244.55,60066953,109.43,109.6,109.43,109.59,1474335
2017-06-14,244.86,244.87,243.29,244.24,78602311,110.0,110.18,109.85,109.94,2627482
2017-06-15,242.68,243.91,242.36,243.77,66464888,109.9,109.9,109.78,109.87,2233855
2017-06-16,242.77,242.83,241.63,242.64,84553097,109.86,109.97,109.85,109.94,2216671
2017-06-19,243.59,244.73,243.48,244.66,65123802,109.87,109.9,109.74,109.79,1610466
2017-06-20,244.25,244.26,242.99,243.01,56906368,109.85,110.03,109.8,109.96,2195500
2017-06-21,243.42,243.59,242.41,242.95,55977569,109.88,110.04,109.88,109.98,1217369
2017-06-22,242.96,243.53,242.64,242.84,44148059,110.06,110.09,109.95,110.03,1427444
2017-06-23,242.91,243.51,242.47,243.13,66986801,110.01,110.11,109.98,110.05,1259120
2017-06-26,243.9,244.38,243.05,243.29,56700477,110.19,110.24,110.13,110.15,1914565
2017-06-27,243.04,243.38,241.31,241.33,82247666,109.93,109.98,109.79,109.82,3072302
2017-06-28,242.5,243.72,242.23,243.49,70042599,109.85,109.88,109.68,109.86,12184475
2017-06-29,243.66,243.72,239.96,241.35,106949719,109.53,109.68,109.47,109.65,3377194
2017-06-30,242.28,242.71,241.58,241.8,86820694,109.62,109.63,109.46,109.51,2626939
2017-07-03,242.88,243.38,242.21,242.21,39153806,109.3,109.3,109.01,109.09,1817281
2017-07-05,242.63,243.01,241.7,242.77,54427596,109.08,109.18,109.0,109.15,4288609
2017-07-06,241.89,242.03,240.34,240.55,66115317,108.95,109.0,108.82,108.94,2284910
2017-07-07,241.21,242.28,240.56,242.11,57972268,108.89,108.95,108.83,108.9,2727445
2017-07-10,241.95,242.8,241.76,242.37,36663274,108.97,109.02,108.89,108.95,2386444
2017-07-11,242.16,242.55,240.85,242.19,50354614,108.97,109.1,108.93,109.05,1969064
2017-07-12,243.3,244.2,243.3,244.01,59610405,109.38,109.43,109.26,109.38,2129850
2017-07-13,244.02,244.55,243.76,244.42,39471637,109.29,109.31,109.13,109.26,1568304
2017-07-14,244.43,245.97,244.31,245.56,60262692,109.54,109.56,109.29,109.37,1916631
2017-07-17,245.47,245.91,245.33,245.53,33531917,109.4,109.48,109.32,109.42,4078495
2017-07-18,245.06,245.72,244.67,245.66,42742498,109.64,109.71,109.58,109.67,2878592
2017-07-19,246.02,247.0,246.01,246.99,51034260,109.72,109.75,109.63,109.7,1577734
2017-07-20,247.28,247.42,246.47,247.1,47135183,109.85,109.88,109.7,109.73,1802663
2017-07-21,246.44,246.91,246.18,246.88,88711019,109.88,109.96,109.83,109.92,1532056
2017-07-24,246.79,246.98,246.28,246.82,46622256,109.84,109.92,109.76,109.82,1946019
2017-07-25,247.68,247.8,247.16,247.42,54915591,109.6,109.63,109.39,109.43,2601670
2017-07-26,247.75,247.79,247.13,247.43,47575422,109.37,109.71,109.35,109.64,2249859
2017-07-27,247.96,248.0,245.68,247.2,70766568,109.51,109.59,109.43,109.48,1868732
2017-07-28,246.65,247.06,246.13,246.91,50088359,109.54,109.7,109.49,109.7,1894332
2017-07-31,247.37,247.48,246.53,246.77,65838659,109.69,109.73,109.58,109.65,2362989
2017-08-01,247.46,247.5,246.72,247.32,55050401,109.38,109.72,109.36,109.72,2338876
2017-08-02,247.47,247.6,246.37,247.44,47211216,109.71,109.77,109.64,109.64,2253372
2017-08-03,247.31,247.34,246.64,246.96,40855997,109.77,109.94,109.74,109.86,1485193
2017-08-04,247.52,247.79,246.97,247.41,60191838,109.7,109.72,109.54,109.68,2300875
2017-08-07,247.49,247.87,247.37,247.87,31995021,109.69,109.72,109.61,109.67,2359826
2017-08-08,247.51,248.91,246.83,247.26,61719353,109.67,109.69,109.5,109.57,2570876
2017-08-09,246.47,247.31,246.06,247.25,62632619,109.87,109.87,109.66,109.67,2308932
2017-08-10,246.29,246.44,243.7,243.76,120479470,109.7,109.85,109.67,109.78,2003463
2017-08-11,244.02,244.8,243.75,244.12,74869947,109.75,109.94,109.68,109.87,1913253
2017-08-14,245.59,246.79,245.55,246.54,73291919,109.84,109.9,109.74,109.82,2294261
2017-08-15,246.98,247.0,246.16,246.51,55242746,109.56,109.72,109.56,109.66,2177420
2017-08-16,247.11,247.57,246.45,246.94,56715544,109.54,109.93,109.54,109.86,1956479
2017-08-17,246.24,246.6,243.09,243.09,128490396,109.83,110.02,109.78,110.02,5403527
2017-08-18,242.9,244.19,242.2,242.71,136747986,110.05,110.14,109.89,109.95,1563274
2017-08-21,242.64,243.2,241.83,242.9,65469736,110.01,110.09,109.97,110.03,1717640
2017-08-22,243.57,245.62,243.55,245.44,63140101,109.99,110.02,109.87,109.93,1992321
2017-08-23,244.33,245.05,244.16,244.56,50203837,110.08,110.19,110.01,110.18,1894934
2017-08-24,245.0,245.18,243.75,243.99,50741671,110.07,110.16,109.99,110.04,2102142
2017-08-25,244.9,245.61,244.39,244.56,64445912,110.05,110.19,110.01,110.12,2326792
2017-08-28,245.17,245.2,244.09,244.57,40565606,110.17,110.24,110.1,110.16,4476080
2017-08-29,243.06,245.15,242.93,244.85,51135715,110.48,110.49,110.26,110.32,2092244
2017-08-30,244.83,246.32,244.62,246.01,62030805,110.27,110.33,110.24,110.3,1505746
2017-08-31,246.72,247.77,246.05,247.49,103803880,110.31,110.46,110.31,110.45,5308381
2017-09-01,247.92,248.33,247.67,247.84,62006989,110.19,110.22,109.91,109.97,2824636
2017-09-05,247.26,247.52,244.95,246.06,91398777,110.27,110.5,110.21,110.42,2257109
2017-09-06,246.84,247.28,246.23,246.9,57916867,110.42,110.52,110.23,110.3,2720188
2017-09-07,247.25,247.27,246.4,246.87,58034730,110.43,110.66,110.42,110.57,1648825
2017-09-08,246.54,247.11,246.3,246.58,63832825,110.54,110.58,110.43,110.44,2363231
2017-09-11,248.04,249.3,248.02,249.21,71364848,110.27,110.29,110.1,110.14,2492743
2017-09-12,249.63,250.09,249.42,250.05,56896027,110.04,110.06,109.92,109.98,2403562
2017-09-13,249.72,250.21,249.59,250.17,59228002,110.0,110.04,109.86,109.87,1304102
2017-09-14,249.8,250.32,249.6,250.09,95446349,109.81,109.97,109.81,109.93,1704216
2017-09-15,248.69,249.29,248.57,249.19,95432382,110.0,110.04,109.86,109.91,2818046
2017-09-18,249.61,250.12,249.28,249.72,46235238,109.86,109.9,109.77,109.86,1946411
2017-09-19,250.0,250.07,249.6,249.97,47108148,109.91,109.96,109.79,109.8,1407196
2017-09-20,250.07,250.19,248.92,250.06,59574083,109.84,109.92,109.59,109.71,1356768
2017-09-21,249.88,249.98,249.19,249.39,48211398,109.82,109.85,109.68,109.69,2210883
2017-09-22,249.05,249.63,249.02,249.44,51214032,109.86,109.9,109.75,109.77,1461846
2017-09-25,249.15,249.55,248.08,248.93,57064357,109.85,110.04,109.82,110.03,3937638
2017-09-26,249.42,249.7,248.81,249.08,54081959,109.95,110.02,109.88,109.99,2749892
2017-09-27,249.88,250.49,248.87,250.05,81001426,109.67,109.75,109.6,109.67,3042751
2017-09-28,249.73,250.44,249.63,250.35,44778841,109.58,109.72,109.51,109.68,1702507
2017-09-29,250.34,251.32,250.13,251.23,85578002,109.74,109.77,109.54,109.59,5770818
2017-10-02,251.49,252.32,251.29,252.32,59022985,109.43,109.51,109.33,109.43,5692248
2017-10-03,252.46,252.89,252.23,252.86,66810169,109.46,109.54,109.4,109.52,2462485
2017-10-04,252.69,253.44,252.56,253.16,55953619,109.56,109.57,109.41,109.49,2673151
2017-10-05,253.54,254.68,253.2,254.66,63522757,109.54,109.54,109.37,109.44,1909925
2017-10-06,254.15,254.7,253.85,254.37,80645998,109.22,109.42,109.15,109.28,1823984
2017-10-09,254.63,254.7,253.65,253.95,35803138,109.35,109.43,109.3,109.43,1131590
2017-10-10,254.6,255.05,253.98,254.62,43057363,109.47,109.61,109.4,109.44,1635802
2017-10-11,254.51,255.02,254.32,255.02,47674325,109.47,109.53,109.42,109.46,1866393
2017-10-12,254.66,255.06,254.37,254.64,47065144,109.56,109.61,109.48,109.59,1933369
2017-10-13,255.14,255.27,254.64,254.95,54800435,109.82,109.87,109.69,109.86,1743840
2017-10-16,255.21,255.51,254.82,255.29,38221675,109.75,109.81,109.66,109.75,3788111
2017-10-17,255.23,255.52,254.98,255.47,31560964,109.62,109.74,109.55,109.71,1764831
2017-10-18,255.9,255.95,255.5,255.72,40888330,109.51,109.56,109.46,109.54,1663836
2017-10-19,254.83,255.83,254.35,255.79,61903788,109.71,109.75,109.54,109.62,1876987
2017-10-20,256.7,257.14,255.77,257.11,89176377,109.32,109.41,109.26,109.3,2014321
2017-10-23,257.48,257.51,256.02,256.11,63915306,109.4,109.47,109.36,109.42,2000787
2017-10-24,256.6,256.83,256.15,256.56,66935910,109.23,109.29,109.17,109.19,1722478
2017-10-25,256.18,256.31,254.0,255.29,103715291,108.96,109.13,108.95,109.12,2945419
2017-10-26,255.99,256.3,255.48,255.62,69797972,109.2,109.23,108.98,109.0,2163496
2017-10-27,256.47,257.89,255.63,257.71,85562544,109.07,109.26,109.04,109.24,1902541
2017-10-30,257.07,257.6,256.41,256.75,54285687,109.43,109.56,109.36,109.54,2384812
2017-10-31,257.18,257.44,256.81,257.15,60304781,109.52,109.55,109.44,109.47,3719883
2017-11-01,258.04,258.43,257.07,257.49,54202736,109.17,109.41,109.17,109.29,2959362
2017-11-02,257.41,257.75,256.19,257.59,56449535,109.35,109.5,109.33,109.35,2160492
2017-11-03,257.77,258.5,257.3,258.45,59589730,109.48,109.48,109.29,109.45,1781239
2017-11-06,258.3,259.0,258.22,258.85,49652598,109.56,109.59,109.46,109.55,1292977
2017-11-07,258.97,259.35,258.09,258.67,57502161,109.58,109.61,109.49,109.58,2015511
2017-11-08,258.47,259.22,258.15,259.11,50469579,109.54,109.6,109.46,109.51,2742622
2017-11-09,257.73,258.39,256.36,258.17,95085497,109.39,109.46,109.3,109.43,2479760
2017-11-10,257.73,258.29,257.37,258.09,59984662,109.06,109.15,108.97,108.99,1751136
2017-11-13,257.31,258.59,257.27,258.33,50228648,109.11,109.11,108.96,108.99,1891563
2017-11-14,257.41,257.85,256.52,257.73,61315152,109.01,109.12,109.0,109.1,2799949
2017-11-15,256.62,257.22,255.63,256.44,80811525,109.26,109.38,109.14,109.31,2495653
2017-11-16,257.52,259.04,257.47,258.62,67777027,109.22,109.32,109.18,109.19,1912596
2017-11-17,258.22,258.59,257.77,257.86,75756833,109.33,109.39,109.26,109.31,3544593
2017-11-20,258.14,258.52,257.86,258.3,48075514,109.23,109.3,109.18,109.25,2639133
2017-11-21,259.18,260.2,258.26,259.99,69176799,109.39,109.43,109.22,109.36,2297395
2017-11-22,260.0,260.15,259.57,259.76,45033392,109.4,109.56,109.38,109.55,6104105
2017-11-24,260.32,260.48,260.16,260.36,27856514,109.5,109.56,109.48,109.53,1693471
2017-11-27,260.41,260.75,260.0,260.23,52274922,109.53,109.58,109.44,109.53,2653260
2017-11-28,260.76,262.9,260.65,262.87,98971719,109.59,109.63,109.47,109.53,5126887
2017-11-29,263.02,263.63,262.2,262.71,77512102,109.27,109.32,109.18,109.26,2423666
2017-11-30,263.76,266.05,263.67,265.01,127894389,109.25,109.3,109.02,109.08,4011274
2017-12-01,264.76,265.31,260.76,264.46,164390902,109.02,109.48,108.85,109.16,3410153
2017-12-04,266.31,266.8,264.08,264.14,94040560,109.03,109.17,109.0,109.15,2652809
2017-12-05,264.43,265.15,263.04,263.19,77994544,109.09,109.26,109.08,109.26,2995529
2017-12-06,262.87,263.73,262.71,263.24,75898566,109.42,109.52,109.37,109.37,2965777
2017-12-07,263.09,264.43,262.94,264.07,77218569,109.44,109.46,109.15,109.23,2584120
2017-12-08,264.99,265.52,264.03,265.51,76563873,109.21,109.29,109.15,109.19,1684998
2017-12-11,265.58,266.38,265.48,266.31,83077533,109.29,109.32,109.13,109.15,2612378
2017-12-12,266.57,267.32,266.35,266.78,85195750,109.07,109.11,108.95,109.1,3142615
2017-12-13,267.06,267.56,266.65,266.75,102905409,109.23,109.55,109.14,109.41,3109545
2017-12-14,267.09,267.22,265.6,265.66,100666692,109.31,109.51,109.23,109.44,4126106
2017-12-15,265.45,267.04,265.39,266.51,144610290,109.42,109.55,109.32,109.47,2403655
2017-12-18,268.1,268.6,267.98,268.2,83653572,109.47,109.47,109.25,109.33,4474295
2017-12-19,268.48,268.53,267.09,267.17,82382876,109.14,109.16,108.89,109.01,2820942
2017-12-20,268.27,268.33,266.69,267.03,76751500,108.75,108.88,108.71,108.76,4002532
2017-12-21,267.74,268.39,267.3,267.58,67032339,108.76,108.87,108.73,108.82,2374500
2017-12-22,267.6,267.64,266.9,267.51,78720873,108.82,108.89,108.81,108.87,3292848
2017-12-26,267.05,267.44,266.89,267.19,45244433,108.91,109.01,108.87,108.96,1873401
2017-12-27,267.38,267.73,267.01,267.32,57750986,109.02,109.33,109.02,109.3,2046950
2017-12-28,267.89,267.92,267.45,267.87,45116139,109.22,109.26,109.14,109.22,2895441
2017-12-29,268.53,268.55,266.64,266.86,96007424,109.28,109.39,109.24,109.33,2813359
